object_id,masao_label,jacky_label,nico_label,simran_label
201309023010112,bogus,bogus,bogus,bogus
201309023010113,bogus,bogus,bogus,bogus
201309023010116,unsure,bogus,bogus,bogus
201309023010119,bogus,bogus,bogus,bogus
201309023010123,bogus,bogus,bogus,bogus
201309023010124,bogus,bogus,bogus,bogus
201309023010126,bogus,bogus,bogus,bogus
201309023010127,bogus,bogus,bogus,bogus
201309023010128,real,real,real,real
201309023010130,bogus,bogus,bogus,bogus
201309023010131,unsure,bogus,bogus,bogus
201309023010132,unsure,unsure,bogus,bogus
201309023010133,bogus,bogus,bogus,bogus
201309023010134,bogus,bogus,bogus,bogus
201309023010135,bogus,bogus,bogus,bogus
201309023010136,bogus,bogus,bogus,bogus
201309023010137,bogus,bogus,bogus,bogus
201309023010141,bogus,bogus,bogus,bogus
201309023010142,bogus,bogus,bogus,bogus
201309023010143,bogus,bogus,bogus,bogus
201309023010144,real,real,real,real
201309023010147,bogus,bogus,bogus,bogus
201309023010150,bogus,bogus,bogus,bogus
201309023010152,bogus,bogus,bogus,bogus
201309023010153,real,real,,real
201309023010154,bogus,bogus,bogus,bogus
201309023010156,bogus,bogus,bogus,bogus
201309023010158,bogus,bogus,bogus,bogus
201309023010159,unsure,bogus,bogus,bogus
201309023010160,unsure,bogus,bogus,bogus
201309023010162,real,real,real,real
201309023010163,bogus,bogus,bogus,bogus
201309023010165,bogus,bogus,bogus,bogus
201309023010166,unsure,bogus,bogus,bogus
201309023010168,unsure,unsure,bogus,bogus
201309023010169,bogus,bogus,bogus,bogus
201309023010170,bogus,bogus,bogus,bogus
201309023010171,bogus,bogus,bogus,bogus
201309023010172,bogus,bogus,bogus,bogus
201309023010175,bogus,bogus,bogus,bogus
201309023010176,bogus,bogus,bogus,bogus
201309023010179,bogus,bogus,bogus,bogus
201309023010181,bogus,bogus,bogus,bogus
201309023010184,bogus,bogus,bogus,bogus
201309023010185,unsure,unsure,bogus,bogus
201309023010186,bogus,bogus,bogus,bogus
201309023010187,bogus,bogus,bogus,bogus
201309023010190,bogus,bogus,bogus,bogus
201309023010191,bogus,bogus,bogus,bogus
201309023010192,unsure,unsure,bogus,bogus
201309023010193,bogus,bogus,bogus,bogus
201309023010194,bogus,bogus,bogus,bogus
201309023010196,bogus,bogus,bogus,bogus
201309023010197,unsure,real,bogus,bogus
201309023010198,bogus,bogus,bogus,bogus
